table_id,id,column_name
a539ad56-195f-4d97-9e42-d4745f6979a4,d866f901-77a7-4834-b1eb-60de2db72896,column1
2e90e67e-43c2-4343-ac9c-8a78fa732077,d866f901-77a7-4834-b1eb-60de2db72896,column1
2e90e67e-43c2-4343-ac9c-8a78fa732077,d2240caa-e31d-4ee3-ab70-8cd6ed89fd92,column2
f324f281-e327-49e0-bc10-6a05bc09b21a,d866f901-77a7-4834-b1eb-60de2db72896,column1
f324f281-e327-49e0-bc10-6a05bc09b21a,d2240caa-e31d-4ee3-ab70-8cd6ed89fd92,column2
f324f281-e327-49e0-bc10-6a05bc09b21a,a931a8c0-9377-4c3d-b1dd-e6e97b2a2646,column3
4e01baf0-0b34-4322-a478-99da4bb98ef7,d866f901-77a7-4834-b1eb-60de2db72896,column1
4e01baf0-0b34-4322-a478-99da4bb98ef7,d2240caa-e31d-4ee3-ab70-8cd6ed89fd92,column2
4e01baf0-0b34-4322-a478-99da4bb98ef7,a931a8c0-9377-4c3d-b1dd-e6e97b2a2646,column3
4e01baf0-0b34-4322-a478-99da4bb98ef7,a801c12e-725a-4bdc-a912-46f4ad2d751b,column4
6b17b5dc-f73f-493f-aabe-ba3b96348900,d866f901-77a7-4834-b1eb-60de2db72896,column1
6b17b5dc-f73f-493f-aabe-ba3b96348900,d2240caa-e31d-4ee3-ab70-8cd6ed89fd92,column2
6b17b5dc-f73f-493f-aabe-ba3b96348900,a931a8c0-9377-4c3d-b1dd-e6e97b2a2646,column3
6b17b5dc-f73f-493f-aabe-ba3b96348900,a801c12e-725a-4bdc-a912-46f4ad2d751b,column4
6b17b5dc-f73f-493f-aabe-ba3b96348900,f17ff18c-8845-4fcc-b5fb-b2588ace5432,column5
