연번,행정동,관리단체,설치장소(도로명주소),위도,경도
1,광평동,대한민국특수임무유공자회,구미시 구미대로 14길 7-5,36.107064,128.364115
2,광평동,대한민국특수임무유공자회,구미시 광평동 792-73,36.103988,128.364512
3,광평동,대한민국특수임무유공자회,구미시 광평동 529-7,36.104764,128.364196
4,광평동,대한민국특수임무유공자회,구미시 광평동 529-13,36.104905,128.364745
5,광평동,대한민국특수임무유공자회,구미시 화신로8길 13,36.114819,128.356295
6,광평동,대한민국특수임무유공자회,구미시 광평동 154-1,36.115549,128.356713
7,광평동,대한민국특수임무유공자회,구미시 광평동 159,36.116117,128.355903
8,광평동,대한민국특수임무유공자회,구미시 광평동 166-14,36.115742,128.355568
9,광평동,대한민국특수임무유공자회,구미시 광평동 165-4,36.116322,128.354838
10,광평동,대한민국특수임무유공자회,구미시 광평동 339-2 ,36.109199,128.354189
